Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Pedagogía,6,96,2,0
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Introducción a la Matemática,3,48,1,1
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Principios de Agroecología,5,80,1,1
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Filosofía,6,96,1,1
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Análisis Institucional I,6,96,1,1
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Matemática I,6,96,2,1
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Botánica Sistemática,5,80,2,1
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Introducción a la Zootecnia,5,80,2,1
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Didáctica General,6,96,2,1
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Ecofisiología de la Producción,5,80,1,2
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,"Educación, Sociedad y Política",6,96,1,2
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Gestión del Suelo,5,80,1,2
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Taller I: Sistemas de Producción Agrícola,3,96,0,2
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Gestión del Agua,5,80,2,2
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Protección Vegetal,5,80,2,2
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Psicología I,6,96,2,2
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Seminario de Animación Rural,3,48,1,3
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Didáctica Específica,6,96,1,3
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Psicología II,6,96,1,3
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Taller II: Sistemas de Propducción Ganadera,3,96,0,3
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Cultivos Intensivos,5,80,2,3
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Cultivos Extensivos,3,48,2,3
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Práctica Docente I,6,96,2,3
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Producción Animal I,5,80,1,4
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Gestión de los Recursos Forrajeros,5,80,1,4
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Práctica Docente II,6,96,1,4
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Estrategia y Gestión Agropecuaria I,5,80,2,4
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Producción Animal II,5,80,2,4
Gestión Agropecuaria,Profesorado en Ciencias Agropecuarias,0995/12,Residencia,6,96,2,4
Estudios Políticos,Licenciatura en Ciencias Políticas,0605/11,Sociología,6,96,1,0
Estudios Políticos,Licenciatura en Ciencias Políticas,0605/11,Derecho Constitucional,6,96,1,0
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,"Literatura, Arte y Sociedad Argentina",6,96,1,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,Prácticas Letradas I,6,96,1,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,Metodología de la Investigación en Humanidades y Arte,6,96,1,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,"Literatura, Arte y Sociedad Latinoamericana",6,96,2,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,Prácticas Letradas II,4,64,2,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,Medios de Comunicación,6,96,2,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,Antropología Sociocultural,6,96,2,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,Políticas Culturales,6,96,1,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,Prácticas Letradas III,4,64,1,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,Arte y Espacio Público,6,96,1,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,Arte y Multimedios,6,96,2,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,Formulación y Evaluación de Proyectos Socioculturales,6,96,2,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,Práctica Letrada IV,4,64,2,
"Lengua, Literatura y Comunicación",Licenciatura en Arte y Sociedad,0674/16,Idioma Extranjero,6,96,2,
Administración Pública,Licenciatura en Administración Pública,0814/01,Instituciones del Derecho Público,6,96,1,0
Administración Pública,Licenciatura en Administración Pública,0814/01,Sociología,6 hs,96,1,0
Administración Pública,Licenciatura en Administración Pública,0814/01,Administración General,6 hs,96,1,0
Administración Pública,Licenciatura en Administración Pública,0814/01,Historia Económica y Social Argentina,6 hs,96,2,0
Administración Pública,Licenciatura en Administración Pública,0814/01,Ciencia y Conocimiento Científico,6 hs,96,2,0
Administración Pública,Licenciatura en Administración Pública,0814/01,Sociología de las organizaciones,6 hs,96,2,0
Administración Pública,Licenciatura en Administración Pública,0814/01,Matemática I,6 hs,96,2,0
Administración Pública,Licenciatura en Administración Pública,0814/01,Teoría Contable,6 hs,96,1,1
Administración Pública,Licenciatura en Administración Pública,0814/01,Matemática II,6 hs,96,1,1
Administración Pública,Licenciatura en Administración Pública,0814/01,Economía I,6 hs,96,1,1
Administración Pública,Licenciatura en Administración Pública,0814/01,Gestión Organizacional,6 hs,96,1,1
Administración Pública,Licenciatura en Administración Pública,0814/01,Tecnologías de la información,6 hs,96,2,1
Administración Pública,Licenciatura en Administración Pública,0814/01,Economía II,6 hs,96,2,1
Administración Pública,Licenciatura en Administración Pública,0814/01,Seminario de Integración,8,128,2,1
Administración Pública,Licenciatura en Administración Pública,0814/01,Idioma extranjero,6,192,0,1
Administración Pública,Licenciatura en Administración Pública,0814/01,Estado y Sociedad,6 hs,96,1,2
Administración Pública,Licenciatura en Administración Pública,0814/01,Estadística para Administradores,6 hs,96,1,2
Administración Pública,Licenciatura en Administración Pública,0814/01,Gestión de Recursos Humanos,6 hs,96,1,2
Administración Pública,Licenciatura en Administración Pública,0814/01,Teoría de la Administración Pública,6 hs,96,2,2
Administración Pública,Licenciatura en Administración Pública,0814/01,Tecnologías de Gestión,6 hs,96,2,2
Administración Pública,Licenciatura en Administración Pública,0814/01,Finanzas Públicas,6 hs,96,2,2
